Family Day,"February 16, Monday","BC, AB, SK, ON, NB",2026,2024-02-16, Monday
Valentine's Day,"February 14, Saturday",Not an official holiday,2026,2024-02-14, Saturday
St. Patrick's Day,"March 17, Tuesday",Not a stat holiday,2026,2024-03-17, Tuesday
Good Friday,"April 3, Friday",National except QC,2026,2024-04-03, Friday
Easter Monday,"April 6, Monday",QC,2026,2024-04-06, Monday
Mother's Day,"May 10, Sunday",Not an official holiday,2026,2024-05-10, Sunday
Victoria Day,"May 18, Monday","National except NS, NL",2026,2024-05-18, Monday
Father's Day,"June 14, Sunday",Not an official holiday,2026,2024-06-14, Sunday
Aboriginal Day,"June 21, Sunday",NWT,2026,2024-06-21, Sunday
St. Jean Baptiste Day,"June 24, Wednesday",QC,2026,2024-06-24, Wednesday
Canada Day,"July 1, Wednesday",National,2026,2024-07-01, Wednesday
Civic Holiday,"August 3, Monday","AB, BC, SK, ON, MB, NB, NU",2026,2024-08-03, Monday
Labour Day,"September 7, Monday",National,2026,2024-09-07, Monday
National Day for Truth and Reconciliation,"September 30, Wednesday","National, federally regulated workplaces only",2026,2024-09-30, Wednesday
Thanksgiving,"October 12, Monday","National except NS, NL",2026,2024-10-12, Monday
Halloween,"October 31, Saturday",Not an official holiday,2026,2024-10-31, Saturday
Remembrance Day,"November 11, Wednesday","National except MB, ON, QC, NS",2026,2024-11-11, Wednesday
Christmas Day,"December 25, Friday",National,2026,2024-12-25, Friday
Boxing Day,"December 26, Saturday",ON,2026,2024-12-26, Saturday
